sLongitude, sLatitude
9.485484, 53.958504
9.485483, 53.958504
9.485479, 53.958508
9.485459, 53.958511
9.485430, 53.958519
9.485400, 53.958530
9.485373, 53.958546
9.485355, 53.958565
9.485347, 53.958591
9.485350, 53.958622
9.485363, 53.958652
9.485386, 53.958679
9.485421, 53.958702
9.485464, 53.958706
9.485510, 53.958698
9.485562, 53.958683
9.485622, 53.958664
9.485687, 53.958641
9.485758, 53.958614
9.485832, 53.958588
9.485913, 53.958557
9.485998, 53.958530
9.486084, 53.958500
9.486173, 53.958469
9.486261, 53.958443
9.486352, 53.958412
9.486442, 53.958385
9.486526, 53.958355
9.486609, 53.958328
9.486688, 53.958298
9.486762, 53.958275
9.486830, 53.958248
9.486882, 53.958229
9.486917, 53.958214
9.486944, 53.958199
9.486955, 53.958176
9.486948, 53.958149
9.486928, 53.958118
9.486898, 53.958084
9.486859, 53.958042
9.486810, 53.957993
9.486753, 53.957939
9.486691, 53.957882
9.486630, 53.957821
9.486574, 53.957756
9.486530, 53.957684
9.486505, 53.957611
9.486494, 53.957535
9.486502, 53.957458
9.486526, 53.957382
9.486553, 53.957310
9.486579, 53.957245
9.486601, 53.957184
9.486618, 53.957130
9.486634, 53.957088
9.486656, 53.957054
9.486695, 53.957027
9.486759, 53.957008
9.486847, 53.956997
9.486952, 53.957001
9.487072, 53.957005
9.487205, 53.957005
9.487349, 53.957001
9.487505, 53.956993
9.487675, 53.956985
9.487857, 53.956978
9.488052, 53.956970
9.488259, 53.956966
9.488475, 53.956959
9.488701, 53.956955
9.488933, 53.956951
9.489169, 53.956947
9.489403, 53.956944
9.489636, 53.956940
9.489866, 53.956936
9.490095, 53.956928
9.490321, 53.956921
9.490541, 53.956913
9.490753, 53.956905
9.490960, 53.956898
9.491162, 53.956890
9.491361, 53.956882
9.491554, 53.956875
9.491740, 53.956867
9.491919, 53.956860
9.492085, 53.956852
9.492230, 53.956844
9.492355, 53.956833
9.492455, 53.956825
9.492529, 53.956821
9.492577, 53.956818
9.492601, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492612, 53.956814
9.492627, 53.956814
9.492656, 53.956810
9.492687, 53.956810
9.492714, 53.956814
9.492727, 53.956818
9.492731, 53.956818
9.492731, 53.956818
9.492731, 53.956818
9.492731, 53.956818
9.492731, 53.956818
9.492731, 53.956818
9.492761, 53.956833
9.492799, 53.956867
9.492835, 53.956917
9.492859, 53.956982
9.492867, 53.957062
9.492871, 53.957153
9.492876, 53.957260
9.492880, 53.957378
9.492885, 53.957508
9.492897, 53.957645
9.492923, 53.957790
9.492957, 53.957939
9.492992, 53.958084
9.493028, 53.958225
9.493062, 53.958363
9.493095, 53.958492
9.493127, 53.958622
9.493156, 53.958744
9.493185, 53.958866
9.493211, 53.958977
9.493235, 53.959080
9.493253, 53.959171
9.493266, 53.959248
9.493277, 53.959305
9.493290, 53.959347
9.493302, 53.959370
9.493311, 53.959381
9.493321, 53.959393
9.493346, 53.959408
9.493395, 53.959438
9.493449, 53.959480
9.493480, 53.959534
9.493473, 53.959591
