sTimeStemp, sLongitude, sLatitude, sheight, sCQI, sRSRP
, 9.485484, 53.958504, , 10, -100
, 9.485483, 53.958504, , 6, -94
, 9.485479, 53.958508, , 6, -97
, 9.485459, 53.958511, , 8, -102
, 9.485430, 53.958519, , 7, -122
, 9.485400, 53.958530, , 6, -128
, 9.485373, 53.958546, , 11, -130
, 9.485355, 53.958565, , 11, -97
, 9.485347, 53.958591, , 9, -117
, 9.485350, 53.958622, , 8, -94
, 9.485363, 53.958652, , 11, -96
, 9.485386, 53.958679, , 8, -126
, 9.485421, 53.958702, , 12, -108
, 9.485464, 53.958706, , 12, -114
, 9.485510, 53.958698, , 9, -108
, 9.485562, 53.958683, , 10, -106
, 9.485622, 53.958664, , 11, -130
, 9.485687, 53.958641, , 6, -100
, 9.485758, 53.958614, , 6, -101
, 9.485832, 53.958588, , 6, -118
, 9.485913, 53.958557, , 6, -111
, 9.485998, 53.958530, , 9, -119
, 9.486084, 53.958500, , 6, -107
, 9.486173, 53.958469, , 10, -122
, 9.486261, 53.958443, , 11, -99
, 9.486352, 53.958412, , 8, -121
, 9.486442, 53.958385, , 8, -110
, 9.486526, 53.958355, , 7, -103
, 9.486609, 53.958328, , 8, -92
, 9.486688, 53.958298, , 12, -113
, 9.486762, 53.958275, , 12, -92
, 9.486830, 53.958248, , 7, -104
, 9.486882, 53.958229, , 10, -113
, 9.486917, 53.958214, , 8, -102
, 9.486944, 53.958199, , 12, -92
, 9.486955, 53.958176, , 11, -99
, 9.486948, 53.958149, , 8, -92
, 9.486928, 53.958118, , 12, -121
, 9.486898, 53.958084, , 8, -127
, 9.486859, 53.958042, , 6, -117
, 9.486810, 53.957993, , 12, -101
, 9.486753, 53.957939, , 10, -102
, 9.486691, 53.957882, , 7, -115
, 9.486630, 53.957821, , 8, -122
, 9.486574, 53.957756, , 11, -115
, 9.486530, 53.957684, , 8, -127
, 9.486505, 53.957611, , 11, -109
, 9.486494, 53.957535, , 8, -128
, 9.486502, 53.957458, , 8, -96
, 9.486526, 53.957382, , 10, -104
, 9.486553, 53.957310, , 8, -96
, 9.486579, 53.957245, , 8, -98
, 9.486601, 53.957184, , 6, -107
, 9.486618, 53.957130, , 12, -117
, 9.486634, 53.957088, , 10, -92
, 9.486656, 53.957054, , 8, -118
, 9.486695, 53.957027, , 12, -105
, 9.486759, 53.957008, , 9, -125
, 9.486847, 53.956997, , 8, -112
, 9.486952, 53.957001, , 9, -123
, 9.487072, 53.957005, , 7, -127
, 9.487205, 53.957005, , 12, -110
, 9.487349, 53.957001, , 10, -103
, 9.487505, 53.956993, , 6, -101
, 9.487675, 53.956985, , 9, -98
, 9.487857, 53.956978, , 12, -112
, 9.488052, 53.956970, , 8, -118
, 9.488259, 53.956966, , 6, -127
, 9.488475, 53.956959, , 9, -101
, 9.488701, 53.956955, , 11, -107
, 9.488933, 53.956951, , 9, -94
, 9.489169, 53.956947, , 10, -98
, 9.489403, 53.956944, , 6, -129
, 9.489636, 53.956940, , 6, -126
, 9.489866, 53.956936, , 6, -120
, 9.490095, 53.956928, , 10, -98
, 9.490321, 53.956921, , 8, -111
, 9.490541, 53.956913, , 9, -122
, 9.490753, 53.956905, , 12, -101
, 9.490960, 53.956898, , 7, -119
, 9.491162, 53.956890, , 9, -125
, 9.491361, 53.956882, , 11, -99
, 9.491554, 53.956875, , 6, -95
, 9.491740, 53.956867, , 12, -104
, 9.491919, 53.956860, , 10, -115
, 9.492085, 53.956852, , 10, -107
, 9.492230, 53.956844, , 11, -97
, 9.492355, 53.956833, , 10, -123
, 9.492455, 53.956825, , 9, -126
, 9.492529, 53.956821, , 9, -107
, 9.492577, 53.956818, , 10, -94
, 9.492601, 53.956814, , 10, -119
, 9.492612, 53.956814, , 7, -127
, 9.492612, 53.956814, , 6, -96
, 9.492612, 53.956814, , 11, -98
, 9.492612, 53.956814, , 7, -103
, 9.492612, 53.956814, , 9, -113
, 9.492612, 53.956814, , 6, -117
, 9.492612, 53.956814, , 7, -101
, 9.492612, 53.956814, , 11, -126
, 9.492627, 53.956814, , 6, -114
, 9.492656, 53.956810, , 9, -103
, 9.492687, 53.956810, , 10, -127
, 9.492714, 53.956814, , 6, -110
, 9.492727, 53.956818, , 11, -117
, 9.492731, 53.956818, , 10, -98
, 9.492731, 53.956818, , 7, -106
, 9.492731, 53.956818, , 10, -106
, 9.492731, 53.956818, , 9, -112
, 9.492731, 53.956818, , 10, -94
, 9.492731, 53.956818, , 11, -128
, 9.492761, 53.956833, , 12, -100
, 9.492799, 53.956867, , 7, -92
, 9.492835, 53.956917, , 6, -119
, 9.492859, 53.956982, , 11, -117
, 9.492867, 53.957062, , 6, -101
, 9.492871, 53.957153, , 8, -116
, 9.492876, 53.957260, , 9, -123
, 9.492880, 53.957378, , 9, -92
, 9.492885, 53.957508, , 10, -128
, 9.492897, 53.957645, , 12, -110
, 9.492923, 53.957790, , 6, -114
